This file lists functions and variables removed from l3kernel.
Functions which were added with 'experimental' status only are
not listed. The 'Date removed' and 'SVN' columns detail when the
functions are removed from the standard DocStrip extraction for
l3kernel.

Function                                      Date removed     SVN
\prop_if_eq:cNT                                 2011-09-08    2785
\prop_if_eq:cNTF                                2011-09-08    2785
\prop_if_eq:NcF                                 2011-09-08    2785
\prop_if_eq:NcT                                 2011-09-08    2785
\prop_if_eq:NcTF                                2011-09-08    2785
\prop_if_eq:NNF                                 2011-09-08    2785
\prop_if_eq:NNT                                 2011-09-08    2785
\prop_if_eq:NNTF                                2011-09-08    2785
\prop_if_in:ccF                                 2011-09-08    2785
\prop_if_in:ccT                                 2011-09-08    2785
\prop_if_in:ccTF                                2011-09-08    2785
\seq_display:c                                  2011-09-08    2785
\seq_display:N                                  2011-09-08    2785
\seq_top:cN                                     2011-09-08    2785
\seq_top:NN                                     2011-09-08    2785
\tl_elt_count:c                                 2011-09-08    2785
\tl_elt_count:n                                 2011-09-08    2785
\tl_elt_count:N                                 2011-09-08    2785
\tl_elt_count:o                                 2011-09-08    2785
\tl_elt_count:V                                 2011-09-08    2785
\tl_gremove_all_in:cn                           2011-09-08    2785
\tl_gremove_all_in:Nn                           2011-09-08    2785
\tl_gremove_in:cn                               2011-09-08    2785
\tl_gremove_in:Nn                               2011-09-08    2785
\tl_greplace_all_in:cnn                         2011-09-08    2785
\tl_greplace_all_in:Nnn                         2011-09-08    2785
\tl_greplace_in:cnn                             2011-09-08    2785
\tl_greplace_in:Nnn                             2011-09-08    2785
\tl_gset:Nc                                     2011-09-08    2785
\tl_head_i:n                                    2011-09-08    2785
\tl_head_i:w                                    2011-09-08    2785
\tl_head_iii:f                                  2011-09-08    2785
\tl_head_iii:n                                  2011-09-08    2785
\tl_head_iii:w                                  2011-09-08    2785
\tl_new:cn                                      2011-09-08    2785
\tl_new:Nn                                      2011-09-08    2785
\tl_new:Nx                                      2011-09-08    2785
\tl_remove_all_in:cn                            2011-09-08    2785
\tl_remove_all_in:Nn                            2011-09-08    2785
\tl_remove_in:cn                                2011-09-08    2785
\tl_remove_in:Nn                                2011-09-08    2785
\tl_replace_all_in:cnn                          2011-09-08    2785
\tl_replace_all_in:Nnn                          2011-09-08    2785
\tl_replace_in:cnn                              2011-09-08    2785
\tl_replace_in:Nnn                              2011-09-08    2785
\tl_set:Nc                                      2011-09-08    2785
\token_if_active_char_p:N                       2011-09-08    2785
\token_if_active_char:NF                        2011-09-08    2785
\token_if_active_char:NT                        2011-09-08    2785
\token_if_active_char:NTF                       2011-09-08    2785
\token_if_alignment_tab_p:N                     2011-09-08    2785
\token_if_alignment_tab:NF                      2011-09-08    2785
\token_if_alignment_tab:NT                      2011-09-08    2785
\token_if_alignment_tab:NTF                     2011-09-08    2785
\token_if_math_shift_p:N                        2011-09-08    2785
\token_if_math_shift:NF                         2011-09-08    2785
\token_if_math_shift:NT                         2011-09-08    2785
\token_if_math_shift:NTF                        2011-09-08    2785
\token_if_other_char_p:N                        2011-09-08    2785
\token_if_other_char:NF                         2011-09-08    2785
\token_if_other_char:NT                         2011-09-08    2785
\token_if_other_char:NTF                        2011-09-08    2785
\toks_clear:c                                   2011-09-08    2785
\toks_clear:N                                   2011-09-08    2785
\toks_gclear:c                                  2011-09-08    2785
\toks_gclear:N                                  2011-09-08    2785
\toks_gput_left:cn                              2011-09-08    2785
\toks_gput_left:co                              2011-09-08    2785
\toks_gput_left:cV                              2011-09-08    2785
\toks_gput_left:Nn                              2011-09-08    2785
\toks_gput_left:No                              2011-09-08    2785
\toks_gput_left:NV                              2011-09-08    2785
\toks_gput_left:Nx                              2011-09-08    2785
\toks_gput_right:cn                             2011-09-08    2785
\toks_gput_right:co                             2011-09-08    2785
\toks_gput_right:cV                             2011-09-08    2785
\toks_gput_right:Nn                             2011-09-08    2785
\toks_gput_right:No                             2011-09-08    2785
\toks_gput_right:NV                             2011-09-08    2785
\toks_gput_right:Nx                             2011-09-08    2785
\toks_gset_eq:cc                                2011-09-08    2785
\toks_gset_eq:cN                                2011-09-08    2785
\toks_gset_eq:Nc                                2011-09-08    2785
\toks_gset_eq:NN                                2011-09-08    2785
